"GoDaddy.com","Scottsdale, AZ","https://www.secondmarket.com/company/go-daddy","http://www.godaddy.com","",""
"Roku","Saratoga, CA","https://www.secondmarket.com/company/roku","http://www.roku.com","Aug 2011","$8M"
"Masterseek","New York, NY","https://www.secondmarket.com/company/masterseek","http://www.masterseek.com","May 2007","$12M"
"OnLive","Palo Alto, CA","https://www.secondmarket.com/company/onlive","http://www.onlive.com","Feb 2011","$40M"
"the Rubicon Project","Los Angeles, CA","https://www.secondmarket.com/company/the-rubicon-project","http://rubiconproject.com","Nov 2010","$18M"
"SCVNGR","Cambridge, MA","https://www.secondmarket.com/company/scvngr","http://www.scvngr.com","Jan 2011","$15M"
"Quantcast","San Francisco, CA","https://www.secondmarket.com/company/quantcast","http://www.quantcast.com/","Jan 2010","$27M"
"Covestor","New York, NY","https://www.secondmarket.com/company/covestor","http://www.covestor.com","Feb 2010","$3.6M"
"Ernst & Young","London, United Kingdom","https://www.secondmarket.com/company/ernst--young","","",""
"ProFounder","Los Angeles, CA","https://www.secondmarket.com/company/profounder","http://www.profounder.com","Jan 2011","$1.3M"
"Bazaarvoice","Austin, TX","https://www.secondmarket.com/company/bazaarvoice","http://www.bazaarvoice.com","Jun 2008","$7.1M"
"Clickable","New York, NY","https://www.secondmarket.com/company/clickable","http://www.clickable.com/","Oct 2011","$12M"
"In-N-Out Burgers","Irvine, CA","https://www.secondmarket.com/company/in-n-out-burgers","http://www.in-n-out.com","",""
"Jetsetter","New York, NY","https://www.secondmarket.com/company/jetsettercom","www.jetsetter.com","",""
"Ooyala","Mountain View, CA","https://www.secondmarket.com/company/ooyala","http://www.ooyala.com/","Jul 2011","$24M"
"Marketo","San Mateo, CA","https://www.secondmarket.com/company/marketo","http://www.marketo.com","Nov 2011","$50M"
"Zong","Menlo Park, CA","https://www.secondmarket.com/company/zong","http://www.zong.com","Apr 2010","$15M"
"Tremor Video","New York, NY","https://www.secondmarket.com/company/tremor-media","http://www.tremorvideo.com","Sep 2011","$37M"
"Union Square Ventures","New York, NY","https://www.secondmarket.com/company/union-square-ventures","http://www.usv.com","",""
