"Marketo","San Mateo, CA","https://www.secondmarket.com/company/marketo"
"Zong","Menlo Park, CA","https://www.secondmarket.com/company/zong"
"Tremor Video","New York, NY","https://www.secondmarket.com/company/tremor-media"
"Union Square Ventures","New York, NY","https://www.secondmarket.com/company/union-square-ventures"
"Chrysler","Auburn Hills, MI","https://www.secondmarket.com/company/chrysler"
"Slated","New York, NY","https://www.secondmarket.com/company/slated"
"Zaarly","","https://www.secondmarket.com/company/zaarly"
"Bechtel","San Francisco, CA","https://www.secondmarket.com/company/bechtel"
"RockYou","Redwood City, CA","https://www.secondmarket.com/company/rockyou"
"The Climate Corporation","San Francisco, CA","https://www.secondmarket.com/company/weatherbill"
"Savored","New York, NY","https://www.secondmarket.com/company/savored"
"LifeLock","Tempe, AZ","https://www.secondmarket.com/company/lifelock"
"Lot18","New York, NY","https://www.secondmarket.com/company/lot18"
"OkCupid","New York, NY","https://www.secondmarket.com/company/okcupid"
"Jobvite","Burlingame, CA","https://www.secondmarket.com/company/jobvite"
"Gust","New York, NY","https://www.secondmarket.com/company/angelsoft"
"AdMeld","New York, NY","https://www.secondmarket.com/company/admeld"
"Elance","Mountain View, CA","https://www.secondmarket.com/company/elance"
"adBrite","San Francisco, CA","https://www.secondmarket.com/company/adbrite"
"Yext","New York, NY","https://www.secondmarket.com/company/yext"
"BlueKai","Bellevue, WA","https://www.secondmarket.com/company/bluekai"
"Ning","Palo Alto, CA","https://www.secondmarket.com/company/ning"
"Tapad","New York, NY","https://www.secondmarket.com/company/tapadcom"
"Hashable","New York City, NY","https://www.secondmarket.com/company/hashable"
"Sonos","Santa Barbara, CA","https://www.secondmarket.com/company/sonos"
"QuiBids","Oklahoma City, OK","https://www.secondmarket.com/company/quibids"
"Federated Media","San Francisco, CA","https://www.secondmarket.com/company/federated-media"
"Genentech","","https://www.secondmarket.com/company/genentech"
"On Deck Capital","New York, NY","https://www.secondmarket.com/company/on-deck-capital"
"Virgin Galactic","","https://www.secondmarket.com/company/virgin-galactic"
"HootSuite","Vancouver, Canada","https://www.secondmarket.com/company/hootsuite"
"Rearden Commerce","Foster City, CA","https://www.secondmarket.com/company/rearden-commerce"
"Arista Networks","Santa Clara, CA","https://www.secondmarket.com/company/arista-networks"
"Expensify","San Francisco, CA","https://www.secondmarket.com/company/expensify"
"Wealthfront","Palo Alto, CA","https://www.secondmarket.com/company/wealthfront"
"YuMe","Redwood City, CA","https://www.secondmarket.com/company/yume"
"Xoom Corporation","San Francisco, CA","https://www.secondmarket.com/company/xoom"
"Adknowledge","Kansas City, MO","https://www.secondmarket.com/company/adknowledge"
"WhatsApp","Santa Clara, CA","https://www.secondmarket.com/company/whatsapp"
"ShoeDazzle","Los Angeles, CA","https://www.secondmarket.com/company/shoedazzle"
"Say Media","San Francisco, CA","https://www.secondmarket.com/company/say-media"
"Shopify","Ottawa, Ontario, Canada","https://www.secondmarket.com/company/shopify"
"Twilio","San Francisco, CA","https://www.secondmarket.com/company/twilio"
"Swype","Seattle, WA","https://www.secondmarket.com/company/swype"
"Andreessen Horowitz","Menlo Park, CA","https://www.secondmarket.com/company/andressen-horowitz"
"Kaiser Permanente","Oakland, CA","https://www.secondmarket.com/company/kaiser-permanente"
"Toys"R"Us","Wayne, NJ","https://www.secondmarket.com/company/toysrus"
"MediaMath","New York, NY","https://www.secondmarket.com/company/mediamath"
"Kiva Systems","North Reading, MA","https://www.secondmarket.com/company/kiva-systems"
"GlobalLogic","McLean, VA","https://www.secondmarket.com/company/globallogic"
"iContact","Morrisville, NC","https://www.secondmarket.com/company/icontact"
"TaskRabbit","San Francisco, CA","https://www.secondmarket.com/company/taskrabbit"
"MiaSol̩","Santa Clara, CA","https://www.secondmarket.com/company/miasol"
"Amobee","Redwood City, CA","https://www.secondmarket.com/company/amobee-media-systems"
"Face.com","Tel-Aviv, Israel","https://www.secondmarket.com/company/facecom"
"LiveOps","Santa Clara, CA","https://www.secondmarket.com/company/liveops"
"obopay","Redwood City, CA","https://www.secondmarket.com/company/obopay"
"Dogfish Head","Milton, DE","https://www.secondmarket.com/company/dogfish-head"
"Violin Memory","","https://www.secondmarket.com/company/violin-memory"
"Proofpoint","Sunnyvale, CA","https://www.secondmarket.com/company/proofpoint"
"Dwolla","Des Moines, IA","https://www.secondmarket.com/company/dwolla"
"Efficient Frontier","Sunnyvale, CA","https://www.secondmarket.com/company/efficient-frontier"
"Cash4Gold","Pompano Beach, FL","https://www.secondmarket.com/company/cash4gold"
"Four Directions","Hong Kong, Hong Kong","https://www.secondmarket.com/company/four-directions"
"Sinclair Oil","Salt Lake City, UT","https://www.secondmarket.com/company/sinclair-oil"
"Blip.tv","New York, NY","https://www.secondmarket.com/company/bliptv"
"Qualys","Redwood Shores, CA","https://www.secondmarket.com/company/qualys"
"BirchBox","New York, NY","https://www.secondmarket.com/company/birchbox"
"BranchOut","San Francisco, CA","https://www.secondmarket.com/company/branchout"
"PayNearMe","Mountain View, CA","https://www.secondmarket.com/company/paynearme"
"Adchemy","Foster City, CA","https://www.secondmarket.com/company/adchemy"
"GridPoint","Arlington, VA","https://www.secondmarket.com/company/gridpoint"
"AMC Entertainment","Kansas City, MO","https://www.secondmarket.com/company/amc-entertainment"
"PwC","New York, NY","https://www.secondmarket.com/company/pricewaterhousecoopers"
"Creative Artists Agency","Los Angeles, CA","https://www.secondmarket.com/company/creative-artists-agency"
"Biovista","Charlottesville, VA","https://www.secondmarket.com/company/biovista"
"Go Fun Card","Kowloon, Hong Kong, Hong Kong","https://www.secondmarket.com/company/go-fun-card"
"Gerson Lehrman Group","New York, NY","https://www.secondmarket.com/company/gerson-lehrman-group"
"First Round Capital","San Francisco, CA","https://www.secondmarket.com/company/first-round-capital"
"myYearbook","","https://www.secondmarket.com/company/myyearbook"
"Parallels","Renton, WA","https://www.secondmarket.com/company/parallels"
"Marin Software","San Francisco, CA","https://www.secondmarket.com/company/marin-software"
"Founders Fund","San Francisco, CA","https://www.secondmarket.com/company/founders-fund"
"Newegg","Whittier, CA","https://www.secondmarket.com/company/newegg"
"Mars","McLean, VA","https://www.secondmarket.com/company/mars"
"Kno","Santa Clara, CA","https://www.secondmarket.com/company/kno"
"Abound Solar","Loveland, CO","https://www.secondmarket.com/company/abound-solar"
"Posterous","San Francisco, CA","https://www.secondmarket.com/company/posterous"
"Seamless","New York, NY","https://www.secondmarket.com/company/seamlessweb"
"Deloitte","New York, NY","https://www.secondmarket.com/company/deloitte"
"Solyndra","Freemont, CA","https://www.secondmarket.com/company/solyndra"
"Everyday Health","New York, NY","https://www.secondmarket.com/company/everyday-health"
"InMobi","Bangalore, India","https://www.secondmarket.com/company/inmobi"
"Wonga","London, United Kingdom","https://www.secondmarket.com/company/wonga"
"Betterment","New York, NY","https://www.secondmarket.com/company/betterment"
"AxialMarket","New York, NY","https://www.secondmarket.com/company/axialmarket"
"Tableau Software","Seattle, WA","https://www.secondmarket.com/company/tableau-software"
"Badoo","London, United Kingdom","https://www.secondmarket.com/company/badoo"
